scope,key,channel_group,active_interarrival_p50_s,channel_median_s,canonical_freq,canonical_seconds,unresolved_reason
channel,DHI,DHI,,21.5345,1min,60,
channel,DNIcosZ,DNIcosZ,,23.136,1min,60,
channel,GHI,GHI,,23.12,1min,60,
channel,POA,POA,,18.1915,1min,60,
channel,RSI,RSI,,26.401,1min,60,
decision,canonical_freq,,26.401,26.401,1min,60,
tag,PLTS IKN / STS02 / WB02_EMI05 / MEAS / Total Irradiance,GHI,1.531,23.12,1min,60,
tag,PLTS IKN / STS04 / WB04_EMI04 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),DHI,19.825,21.5345,1min,60,
tag,PLTS IKN / STS04 / WB04_EMI04 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),DNIcosZ,19.824,23.136,1min,60,
tag,PLTS IKN / STS04 / WB04_EMI04 / MEAS / GLOBAL HORIZONTAL IRRADIANCE (GHI),GHI,19.824,23.12,1min,60,
tag,PLTS IKN / STS04 / WB04_EMI04 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 03,RSI,23.12,26.401,1min,60,
tag,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),DHI,23.12,21.5345,1min,60,
tag,PLTS IKN / STS05 / WB05_EMI02 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),DNIcosZ,69.416,23.136,1min,60,
tag,PLTS IKN / STS05 / WB05_EMI02 / MEAS / GLOBAL HORIZONTAL IRRADIANCE (GHI),GHI,23.12,23.12,1min,60,
tag,PLTS IKN / STS05 / WB05_EMI02 / MEAS / GLOBAL INCLINED IRRADIANCE (POA),POA,23.12,18.1915,1min,60,
tag,PLTS IKN / STS05 / WB05_EMI02 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 01,RSI,26.416,26.401,1min,60,
tag,PLTS IKN / STS05 / WB05_EMI02 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 02,RSI,26.401,26.401,1min,60,
tag,PLTS IKN / STS05 / WB05_EMI02 / MEAS / IN-PLANE REAR-SIDE IRRADIANCE (RSI) 03,RSI,26.401,26.401,1min,60,
tag,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),DHI,23.121,21.5345,1min,60,
tag,PLTS IKN / STS06 / WB06_EMI03 / MEAS / DIRECT HORIZONTAL IRRADIANCE (DNI*cosZ),DNIcosZ,23.136,23.136,1min,60,
tag,PLTS IKN / STS06 / WB06_EMI03 / MEAS / GLOBAL HORIZONTAL IRRADIANCE (GHI),GHI,23.121,23.12,1min,60,
tag,PLTS IKN / STS09 / WB09_EMI01 / MEAS / DIFFUSE HORIZONTAL IRRADIANCE (DHI),DHI,19.949,21.5345,1min,60,
tag,PLTS IKN / STS09 / WB09_EMI01 / MEAS / GLOBAL HORIZONTAL IRRADIANCE (GHI),GHI,23.167,23.12,1min,60,
tag,PLTS IKN / STS09 / WB09_EMI01 / MEAS / GLOBAL INCLINED IRRADIANCE (POA),POA,13.263,18.1915,1min,60,
